code;Label;FO;y;x1;x2;x3;x4
1000;Российская Федерация;;449097,9;95165;12,16473983;93,8;5,794382875
1001;Центральный ФО ;ЦФО;580706,6;91819;17,94485122;95,1;11,4800955
31;Белгородская область;ЦФО;447619,7;78044;15,21847545;97,6;1,156653747
32;Брянская область;ЦФО;221080;53375;10,09026764;93,1;0,33163017
33;Владимирская область;ЦФО;262945,5;52451;6,599146515;96,2;2,758463727
36;Воронежская область;ЦФО;345566,8;103119;9,040797941;95,1;2,723337623
37;Ивановская область;ЦФО;174687,5;31803;5,381292189;95,9;0,620829315
40;Калужская область;ЦФО;336353,9;99042;12,90959446;96,3;10,18466864
44;Костромская область;ЦФО;245940,9;41978;6,440519878;92,3;0,14204893
46;Курская область;ЦФО;301242,5;65908;10,14870188;94,1;3,102954342
48;Липецкая область;ЦФО;388074,7;91113;9,529965458;97,3;0,248272884
50;Московская область;ЦФО;437249,1;89780;11,18914396;94,6;14,3586226
57;Орловская область;ЦФО;273107,5;61985;8,41751634;92,3;0,519477124
62;Рязанская область;ЦФО;285257,8;53208;6,868105727;97,6;1,297268722
67;Смоленская область;ЦФО;266927,2;58558;6,608393782;96,1;1,090984456
68;Тамбовская область;ЦФО;300289,9;103781;12,02937853;88,5;2,162900188
69;Тверская область;ЦФО;251633,2;63658;6,613688213;93,8;3,148973384
71;Тульская область;ЦФО;316248,5;62756;10,50330251;90,5;2,041017173
76;Ярославская область;ЦФО;348375,7;69624;9,709669811;94,5;4,262264151
77;г. Москва;ЦФО;1102496,4;126874;35,75933426;100;24,45265229
1002;Северо-Западный ФО;СЗФО;520253,4;101754;14,79608495;95,8;8,567776654
10;Республика Карелия;СЗФО;335944,5;52725;8,55971564;98,8;1,557503949
11;Республика Коми;СЗФО;613975;231540;11,64791667;93;2,491203704
29;Архангельская область;СЗФО;532533,7;132811;8,576331361;95,6;1,23465765
83;Ненецкий АО;СЗФО;5210143,9;1827626;68,38372093;96,9;1,534883721
29;Архангельская область без АО;СЗФО;352837,9;68832;6,320438596;95,5;1,223333333
35;Вологодская область;СЗФО;402652,1;66878;9,281696054;96,8;0,307640638
39;Калининградская область;СЗФО;359639,7;65956;15,06130031;92,9;1,038080495
47;Ленинградская область;СЗФО;478065,2;96343;12,22984234;96,4;3,777477477
51;Мурманская область;СЗФО;525475,7;111680;8,204830287;96;3,393342037
53;Новгородская область;СЗФО;379255,5;98892;10,60210016;93,4;1,765751212
60;Псковская область;СЗФО;208464,5;45589;11,92196621;94,8;0,257450077
78;г. Санкт-Петербург;СЗФО;650339,7;101385;20,85722265;98,2;19,65955316
1003;Южный ФО;ЮФО;283856,1;85123;6,985551261;90,1;1,843892263
1;Республика Адыгея;ЮФО;187211,1;38310;6,034521158;100;0,458129176
8;Республика Калмыкия;ЮФО;185798,9;80376;5,635231317;94,3;0,26975089
82;Республика Крым;ЮФО;139873,3;14034;10,18132911;98,1;0,269989451
23;Краснодарский край;ЮФО;352601,2;138196;8,170792079;93,5;1,026127613
30;Астраханская область;ЮФО;315996,9;114688;5,220372184;88,9;0,538589618
34;Волгоградская область;ЮФО;290186;71315;5,414391865;84,7;3,177082519
61;Ростовская область;ЮФО;280522;62249;5,954148986;89,6;3,47067421
92;г. Севастополь;ЮФО;119384,5;8758;3,170676692;92,7;0,670175439
1004;Северо-Кавказский ФО;СКФО;176399,5;51357;5,355481934;96,2;0,43454809
5;Республика Дагестан;СКФО;189575,2;67933;3,217993311;99,8;0,325150502
6;Республика Ингушетия;СКФО;106955,7;35334;9,120258621;100;0,103663793
7;Кабардино-Балкарская республика;СКФО;139908,7;25766;5,468989547;98;0,704529617
9;Карачаево-Черкесская республика;СКФО;144061,8;47256;7,394029851;82,8;0,860767591
15;Республика Северная Осетия – Алания;СКФО;178921,1;43996;5,25368272;91,5;0,666997167
20;Чеченская Республика;СКФО;111705,4;42293;6,778613139;100;0,251094891
26;Ставропольский край;СКФО;221814,1;51148;5,967345481;99,2;0,482922472
1005;Приволжский ФО;ПФО;339075;80208;8,623089349;93,1;4,258875989
2;Республика Башкортостан;ПФО;323367,4;69653;7,255181729;98,2;2,038998035
12;Республика Марий Эл;ПФО;250039,3;68639;8,32503639;95,9;0,21411936
13;Республика Мордовия;ПФО;223161,1;58585;12,73275649;90,2;1,19789864
16;Республика Татарстан;ПФО;483509,9;141106;15,68920882;97,6;3,159740597
18;Удмуртская Республика;ПФО;341391,7;60353;9,062714097;97,6;0,672200264
21;Чувашская Республика;ПФО;203100,9;43145;6,463327948;95;1,236106624
59;Пермский край;ПФО;403601,4;78737;7,093667046;96,5;4,448236633
43;Кировская область;ПФО;216918;46991;7,068251534;82,4;1,044785276
52;Нижегородская область;ПФО;338304,4;84503;8,259235474;97,5;17,89229358
56;Оренбургская область;ПФО;387881,4;76804;7,066516742;97,2;0,3011994
58;Пензенская область;ПФО;253911;60437;7,233554572;97,3;2,594764012
63;Самарская область;ПФО;394135,9;100176;10,32433862;80,7;4,54291939
64;Саратовская область;ПФО;251047,1;55083;3,992940233;94,3;1,323024469
73;Ульяновская область;ПФО;241633,8;61008;5,091283677;90,7;6,961885895
1006;Уральский ФО;УФО;737316;193267;14,47531769;95,5;3,975236233
45;Курганская область;УФО;207236;37508;6,72862069;87;0,313678161
66;Свердловская область;УФО;421100,7;85945;7,025814652;98,1;6,042269471
72;Тюменская область;УФО;1626160,4;487186;17,31217537;95,9;2,935744206
86;Ханты-Мансийский АО - Югра;УФО;1947653,2;457334;15,716067;97,9;1,687531017
89;Ямало-Ненецкий АО;УФО;3336453,4;1397087;58,4162963;97,5;0,188333333
86;Тюменская область без АО;УФО;628098,5;174865;3,579986004;93;5,382015395
74;Челябинская область;УФО;345597,1;65221;6,452372784;95,7;3,393138937
1007;Сибирский ФО;СФО;353119,2;76903;8,073544946;92,1;3,02588546
4;Республика Алтай;СФО;196639,2;65327;21,21962617;95,3;0,428971963
3;Республика Бурятия;СФО;206880,3;37636;7,093353783;94,3;0,961145194
17;Республика Тыва;СФО;150265,5;56894;11,50987261;90,3;0,949044586
19;Республика Хакасия;СФО;317763,6;74000;6,453171642;98,5;0,170335821
22;Алтайский край;СФО;204933,1;41747;6,91836478;91,1;0,870649895
75;Забайкальский край;СФО;228215;63831;6,894112236;97,3;0,378564857
24;Красноярский край;СФО;582345,8;127445;11,04575026;96;5,335431969
38;Иркутская область;СФО;414986,5;88728;7,485507246;96,6;1,929440994
42;Кемеровская область;СФО;309904,3;84612;6,271082569;90;0,519192661
54;Новосибирская область;СФО;370895,7;70526;8,985911904;90,1;7,035529669
55;Омская область;СФО;312450,2;48259;6,079271992;90;2,108139535
70;Томская область;СФО;438316,5;101984;9,232495345;81,3;9,033519553
1008;Дальневосточный ФО;ДВФО;577684,3;130339;19,29681211;94,9;2,208066334
14;Республика Саха (Якутия);ДВФО;780139,8;189540;23,08798328;97,7;2,580041797
41;Камчатский край;ДВФО;553863,9;78879;43,15078864;98;3,969400631
25;Приморский край;ДВФО;371595,6;69374;8,53688567;92,4;2,952974651
27;Хабаровский край;ДВФО;445809,5;96103;12,15014948;98,7;1,044469357
28;Амурская область;ДВФО;343385,7;94224;13,79395062;91;0,612716049
49;Магаданская область;ДВФО;854561,5;272948;27,90405405;96,4;
65;Сахалинская область;ДВФО;1716734,4;419615;58,95696721;93,9;2,454098361
79;Еврейская АО;ДВФО;266405,8;60742;9,659763314;91,2;
87;Чукотский АО;ДВФО;1226152;165907;110,0666667;98,9;
